Student,Roll number,Exam group,Batch,Subject,Marks,Grading level,Remarks
2013-1091,15,QUIZ-I,02 - 02-Pur 2016-17,CS-02,9.0,A+,
2012-0989,21,QUIZ-I,01 - 01-B 2016-17,SS-01,10.0,B,
2016-1501,91,QUIZ-I,01 - 01-B 2016-17,SS-01,10.5,B+,
2015-1320,20,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2013-1029,59,QUIZ-I,01 - 01-B 2016-17,SS-01,14.5,A+,
2013-1126,70,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2013-1078,67,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2013-1142,74,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2013-1058,64,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2015-1436,51,QUIZ-I,01 - 01-B 2016-17,SS-01,14.0,A+,
2012-0996,88,QUIZ-I,01 - 01-B 2016-17,SS-01,12.5,A,
2013-1130,11,QUIZ-I,01 - 01-B 2016-17,SS-01,13.0,A,
2013-1106,06,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2014-1274,54,QUIZ-I,01 - 01-B 2016-17,SS-01,14.0,A+,
2014-1285,05,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2015-1312,81,QUIZ-I,01 - 01-B 2016-17,SS-01,14.0,A+,
2013-1023,57,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2014-1300,18,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2016-1477,69,QUIZ-I,01 - 01-B 2016-17,SS-01,14.0,A+,
2013-1053,63,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2015-1348,89,QUIZ-I,01 - 01-B 2016-17,SS-01,14.0,A+,
2016-1533,09,QUIZ-I,01 - 01-B 2016-17,SS-01,14.0,A+,
2013-1059,65,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2013-1011,02,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2013-1178,71,QUIZ-I,01 - 01-B 2016-17,SS-01,11.5,B+,
2014-1169,82,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2014-1149,79,QUIZ-I,01 - 01-B 2016-17,SS-01,14.0,A+,
2013-1048,62,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2014-1220,16,QUIZ-I,01 - 01-B 2016-17,SS-01,15.0,A+,
2016-1492,04,QUIZ-I,01 - 01-B 2016-17,SS-01,14.5,A+,
2014-1300,18,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2016-1533,09,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2016-1492,04,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2012-0988,51,QUIZ-I,03 - 03-S 2016-17,SS-03,10.0,B,
2016-1498,74,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2015-1349,76,QUIZ-I,03 - 03-S 2016-17,SS-03,11.0,B+,
2011-0745,56,QUIZ-I,03 - 03-S 2016-17,SS-03,12.0,A,
2011-0853,69,QUIZ-I,03 - 03-S 2016-17,SS-03,7.0,F,
2011-0790,60,QUIZ-I,03 - 03-S 2016-17,SS-03,13.0,A,
2013-1017,04,QUIZ-I,03 - 03-S 2016-17,SS-03,13.0,A,
2014-1207,57,QUIZ-I,03 - 03-S 2016-17,SS-03,11.0,B+,
2012-0949,80,QUIZ-I,03 - 03-S 2016-17,SS-03,8.0,C,
2012-0941,17,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2014-1168,02,QUIZ-I,03 - 03-S 2016-17,SS-03,12.0,A,
2013-1072,20,QUIZ-I,03 - 03-S 2016-17,SS-03,14.5,A+,
2014-1246,16,QUIZ-I,03 - 03-S 2016-17,SS-03,10.0,B,
2011-0852,68,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2012-0972,65,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2015-1316,22,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2011-0873,77,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2011-0791,61,QUIZ-I,03 - 03-S 2016-17,SS-03,8.0,C,
2014-1170,10,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2011-0842,01,QUIZ-I,03 - 03-S 2016-17,SS-03,13.0,A,
2014-1287,08,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2011-0820,07,QUIZ-I,03 - 03-S 2016-17,SS-03,8.0,C,
2014-1230,66,QUIZ-I,03 - 03-S 2016-17,SS-03,9.0,B,
2014-1203,55,QUIZ-I,03 - 03-S 2016-17,SS-03,10.0,B,
2012-0920,14,QUIZ-I,03 - 03-S 2016-17,SS-03,10.0,B,
2014-1209,13,QUIZ-I,03 - 03-S 2016-17,SS-03,11.0,B+,
2012-0948,78,QUIZ-I,03 - 03-S 2016-17,SS-03,8.0,C,
2014-1242,75,QUIZ-I,03 - 03-S 2016-17,SS-03,13.0,A,
2013-1063,21,QUIZ-I,03 - 03-S 2016-17,SS-03,12.0,A,
2016-1493,58,QUIZ-I,03 - 03-G 2016-17,SS-03,13.0,A,
2015-1400,82,QUIZ-I,03 - 03-G 2016-17,SS-03,10.0,B,
2011-0849,12,QUIZ-I,03 - 03-G 2016-17,SS-03,10.0,B,
2012-0889,19,QUIZ-I,03 - 03-G 2016-17,SS-03,14.5,A+,
2015-1329,23,QUIZ-I,03 - 03-G 2016-17,SS-03,8.0,C,
2011-0786,63,QUIZ-I,03 - 03-G 2016-17,SS-03,11.0,B+,
2013-1080,83,QUIZ-I,03 - 03-G 2016-17,SS-03,14.0,A+,
2012-0924,67,QUIZ-I,03 - 03-G 2016-17,SS-03,14.0,A+,
2012-0887,53,QUIZ-I,03 - 03-G 2016-17,SS-03,9.0,B,
2013-1062,84,QUIZ-I,03 - 03-G 2016-17,SS-03,14.5,A+,
2014-1256,86,QUIZ-I,03 - 03-G 2016-17,SS-03,14.0,A+,
2011-0857,71,QUIZ-I,03 - 03-G 2016-17,SS-03,15.0,A+,
2012-0954,81,QUIZ-I,03 - 03-G 2016-17,SS-03,10.0,B,
2012-0877,79,QUIZ-I,03 - 03-G 2016-17,SS-03,10.0,B,
2013-1018,09,QUIZ-I,03 - 03-G 2016-17,SS-03,14.5,A+,
2015-1438,15,QUIZ-I,03 - 03-G 2016-17,SS-03,13.0,A,
2014-1161,52,QUIZ-I,03 - 03-G 2016-17,SS-03,14.0,A+,
2013-1008,59,QUIZ-I,03 - 03-G 2016-17,SS-03,14.0,A+,
2011-0805,05,QUIZ-I,03 - 03-G 2016-17,SS-03,12.5,A,
2011-0814,06,QUIZ-I,03 - 03-G 2016-17,SS-03,12.0,A,
